268,129,33,21,27557
268,129,33,21,27657
268,129,33,21,27784
268,130,33,20,27535
268,130,33,20,27655
268,129,33,21,27569
268,129,33,21,27620
268,130,33,20,27751
268,130,33,20,27726
268,129,33,21,27659
268,129,33,21,27762
268,129,33,21,27497
268,130,33,20,27656
268,129,33,21,27406
268,129,33,21,27391
268,130,33,20,27631
268,129,33,21,27672
268,129,33,21,27551
268,129,33,21,27876
268,129,33,21,27650
268,129,33,21,27643
267,130,34,20,27790
267,130,34,20,27500
267,129,34,20,27832
266,129,35,20,27888
265,130,36,20,27764
265,131,36,19,27833
263,132,38,19,27925
263,132,38,19,27863
261,133,39,19,27919
260,135,40,19,27728
258,137,42,19,27535
257,138,43,19,27405
258,140,42,19,27792
254,141,45,20,27467
254,142,46,20,27548
252,144,47,20,27370
255,145,44,21,27571
254,146,45,21,27343
255,147,44,22,27522
257,148,42,22,27471
258,148,41,23,27411
257,150,41,23,27450
257,150,41,24,27596
257,151,41,24,27198
254,151,44,25,27376
255,151,43,25,27508
248,152,50,25,27072
250,152,48,25,27058
247,152,51,25,27183
249,152,49,25,27118
250,152,48,25,27199
249,152,49,25,27227
254,152,44,25,27632
254,152,44,25,27443
254,152,44,25,27502
255,152,43,25,27446
252,152,46,25,27561
252,152,46,25,27305
252,152,46,25,27296
251,152,47,25,27330
251,152,47,25,27249
253,152,45,25,27334
252,152,46,25,27606
252,152,46,25,27359
254,152,44,25,27283
255,152,43,25,27240
253,152,45,25,27617
252,152,46,25,27325
254,152,44,25,27521
268,129,33,21,27604
270,130,31,21,27725
272,133,30,22,28150
274,137,28,23,28508
275,139,27,25,28837
277,142,25,26,29332
278,144,24,27,29886
280,146,23,29,30247
281,148,22,30,31233
282,150,21,31,31677
284,151,19,33,32085
285,152,18,34,32356
286,153,17,36,32854
288,153,16,38,33390
288,154,15,39,33670
289,153,15,41,34249
290,155,14,41,34479
291,158,13,40,34801
291,160,13,39,34560
292,161,12,39,34706
292,163,12,38,34720
293,165,11,37,34631
293,166,11,37,35167
293,166,11,37,35085
294,168,10,36,35368
294,168,10,36,35250
294,169,10,36,35580
294,169,10,36,35642
294,170,10,35,35598
294,170,10,35,35725
294,169,10,36,35442
294,169,10,36,35507
294,170,10,35,35842
294,169,10,36,35429
294,170,10,35,35827
294,169,10,36,35773
294,170,10,35,35479
294,170,10,35,35834
294,170,10,35,35772
294,170,10,35,35734
294,170,10,35,35483
294,170,10,35,35720
294,169,10,36,35709
294,169,10,36,35533
294,169,10,36,35503
294,169,10,36,35593
294,169,10,36,35632
294,170,10,35,35490
294,169,10,36,35471
294,169,10,36,35702
